ensg	symbol	Adipose_Tissue	Adrenal_Gland	Bladder	Blood	Blood_Vessel	Brain	Breast	Cervix_Uteri	Colon	Esophagus	Fallopian_Tube	Heart	Kidney	Liver	Lung	Muscle	Nerve	Ovary	Pancreas	Pituitary	Prostate	Salivary_Gland	Skin	Small_Intestine	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina
ENSG00000031698	SARS	0.134378153856694	0.0698745238139384	0.137982205610959	-0.43131028963221	0.137507950823773	-0.190156035560014	0.13785197039459	0.137982205610959	0.130230172936086	0.117330402918089	0.137982205610959	-0.428389865202981	-0.400755267281211	-0.468530517970595	0.137982205610959	-0.114158449119537	0.137982205610959	0.137982205610959	-0.0119974616541234	0.136343505885368	0.126794002376294	0.120358126682661	0.137982205610959	0.120824051458435	0.129341979555922	0.119879803746505	0.132773715266307	0.137982205610959	0.137982205610959	0.137661176000399
ENSG00000143126	CELSR2	-1.37798851106622	-1.25547570760757	-0.444228688778596	-2.56750529367808	-1.11313127913125	1.56328258020147	-0.231843513457023	0.386168726307919	-0.37783591924084	0.79531348602065	0.461319248845956	-0.904394554620342	-0.026362807200131	-1.95369832986147	-1.05103859327931	-0.445078362399014	1.0585727084222	-1.33543471373131	-1.27688494766256	0.421937808564052	0.326360037416431	0.248638188246942	0.998406909008895	-1.14786907904	-2.04447333098571	-0.673226270967158	1.7991896235609	1.92356054576449	-0.374069316426766	1.38234762414914
ENSG00000134222	PSRC1	-0.968148574854017	-1.24655839779685	-0.275508769427486	-0.558340334428777	-0.343314956263667	1.71732821388652	-0.793125117472103	0.413994413629507	-0.465168262991452	0.821996186323892	0.0415904297544741	-1.58709221782694	-1.12897664499287	-1.30470985344483	0.433031016737629	-2.28027814725114	1.8488333385404	-0.127579644568382	-2.02494660056399	0.20173650774292	0.418753773724996	-0.894163006774135	0.118957825252096	-0.356822483839963	-0.130629660994487	-0.773697154616443	1.91581781817537	-0.444188248133979	0.0386347461463992	0.560859504891909
ENSG00000134243	SORT1	0.344972518833024	-1.23991145470019	-0.0477478006220192	-1.21460491361291	0.732334665674106	0.211481710818827	0.164389703874173	-0.301567722668632	0.0900960408522267	0.427447505249836	-0.0345398802364664	-0.349548209987176	-0.533617030399862	-3.16048519001652	0.64956023153398	0.421005386767464	0.687515195565299	-1.96449930279301	-1.73764011823521	-0.562465666527606	-0.33785244832395	0.169924916300489	-0.23203905754281	-0.106859620796835	-0.94676483377807	-0.51190857965791	0.727122483310784	0.571433296649657	0.140048419269269	-0.0125717948468349
ENSG00000143028	SYPL2	0.143516889905843	1.8178395243044	0.565972269370985	-2.10102229354777	0.911136535805081	-1.41948764339802	-0.456300241701272	0.78143384307312	0.526533221671639	0.245377476883282	-0.190666116066941	0.835136662770858	0.883230064261325	0.510791966286009	-0.413158378159226	3.36438499858338	0.55850750679376	0.326911989772456	-0.164114638569558	-0.764248572242431	0.348271967534599	-0.505434123033182	-1.22916372865556	-0.656443228397069	-0.740834362409348	0.0241937994791861	2.13635344032441	1.97231097365622	1.45958803959493	-0.00236419704258131
ENSG00000162650	ATXN7L2	-0.264796170596512	0.717495594803529	-0.0827284785153145	-0.957721801652343	-0.351976342400809	0.18883389367897	-0.254121288797358	0.937178157600688	-0.329316203516549	-0.295442916504742	0.297818538196111	-1.17443681837454	0.198500260870953	-0.677127354800755	-0.146031081212223	1.10785321798091	0.686263245392565	0.958694054522571	-1.16448354912391	1.30363983977121	0.296430516775629	-0.719415819362184	-0.13923533011059	-0.100624682632019	0.753178558071153	-0.64073572942898	2.09218526313256	1.4639749592177	0.940667930546634	0.327327432005763
ENSG00000174151	CYB561D1	-0.471504800084001	0.349507065726202	0.165532619905579	-0.13412410269923	0.126478995571486	-0.140567182719604	-0.517278964920029	-0.0634830465736676	0.183383619105767	0.146007947984473	0.224031311019485	-1.28565725509882	-0.336775159391082	-1.50547681194434	0.0210432002043168	-0.776219973209119	0.158817188149299	0.207231953100697	-0.0242546520746509	0.90736640545646	0.183666349813932	-0.159991216747645	0.826017011986373	0.787251210361138	0.923136171134556	0.231500424973611	-0.181024308268033	0.714112978848713	0.355748654878996	-0.191063684973286
ENSG00000160712	IL6R	0.499230882049015	-0.454843632444513	0.22836299438705	1.07650637894096	0.153595715812966	-1.56423074562521	0.0635026297843332	0.571366406533713	0.994310383495332	0.547377167134265	1.22960390149461	-1.06262189140013	-0.280251336677221	1.57261930387387	1.35595516599801	1.51905345029162	0.735962890991358	0.486252391439172	-1.33946022644088	0.40266708398943	0.115461487065602	-0.926335317179221	-0.315440163505613	0.95301267011895	1.05447525395423	0.0709239581021934	-0.678300212538164	-0.7363890394373	1.01889732928284	0.00842012366002687
ENSG00000145242	EPHA5	-0.294898255230262	-0.377209108655678	-0.0780995447459331	-0.439500251798735	-0.210022155058165	0.812996658333395	-0.325169594443739	0.788548510806741	-0.207346162954194	-0.308061507780391	-0.356194298824772	-0.274016499528616	-0.401265840963776	-0.43798632130055	-0.357700723555051	-0.430583314135881	1.05534896631309	0.397973802546122	-0.431979245639301	0.568835752118541	0.350565005879393	0.0208214462050432	-0.321477619086524	-0.32276114301393	-0.306007445998986	-0.0369875735220702	0.377490470584436	0.56238913709328	-0.089108404107158	0.427335707272029
ENSG00000170006	TMEM154	-0.438966343009024	-1.19834562159544	0.764303828267238	2.62766489407637	-0.866189243795502	-1.12592461526434	-0.249901460818245	-0.216492829094919	-0.729581455260138	0.954916791644044	-0.318666506117168	-0.904199136655908	-0.960591665236034	-0.695657177284934	0.529155066372928	-1.19506182797094	-0.556553625860338	-1.04953425518135	-1.19791454261283	-0.220716516874901	-0.267042358157919	0.684741862948032	2.7497808689955	0.516050108342082	1.69880527586509	-0.747300934320155	-1.21206367393163	-0.730169084261696	-0.695457932011199	1.5461619243675
