Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.down	Adrenal_Gland	2994	15	0.406890074149879	1	ENSG00000143126:ENSG00000134222:ENSG00000134243:ENSG00000160712:ENSG00000026652:ENSG00000147883:ENSG00000148660:ENSG00000122861:ENSG00000138193:ENSG00000137656:ENSG00000109917:ENSG00000160584:ENSG00000166147:ENSG00000103995:ENSG00000166949
DEG.down	Bladder	103	0	1	1	
DEG.down	Blood	5553	17	0.987520907711079	1	ENSG00000134222:ENSG00000134243:ENSG00000162650:ENSG00000026652:ENSG00000099810:ENSG00000122861:ENSG00000108239:ENSG00000166147:ENSG00000255302:ENSG00000138593:ENSG00000166949:ENSG00000103591:ENSG00000189227:ENSG00000137764:ENSG00000041357:ENSG00000130164:ENSG00000100979
DEG.down	Blood_Vessel	1485	3	0.971943400406434	1	ENSG00000143126:ENSG00000134222:ENSG00000162650
DEG.down	Brain	4950	23	0.524953949965635	1	ENSG00000160712:ENSG00000146477:ENSG00000099810:ENSG00000147883:ENSG00000176986:ENSG00000196968:ENSG00000214655:ENSG00000166507:ENSG00000122861:ENSG00000185009:ENSG00000156110:ENSG00000138193:ENSG00000173145:ENSG00000137656:ENSG00000109917:ENSG00000134917:ENSG00000166147:ENSG00000166949:ENSG00000136381:ENSG00000041357:ENSG00000159579:ENSG00000130164:ENSG00000100982
DEG.down	Breast	912	9	0.0243711077512171	0.731133232536513	ENSG00000134222:ENSG00000143028:ENSG00000174151:ENSG00000170006:ENSG00000175600:ENSG00000122641:ENSG00000138193:ENSG00000134917:ENSG00000141448
DEG.down	Cervix_Uteri	44	0	1	1	
DEG.down	Colon	1245	5	0.688563810702369	1	ENSG00000143126:ENSG00000134222:ENSG00000162650:ENSG00000122641:ENSG00000100985
DEG.down	Esophagus	1465	6	0.677867861956068	1	ENSG00000162650:ENSG00000149968:ENSG00000102678:ENSG00000136378:ENSG00000141448:ENSG00000100985
DEG.down	Fallopian_Tube	1	0	1	1	
DEG.down	Heart	8251	38	0.547320798150816	1	ENSG00000143126:ENSG00000134222:ENSG00000162650:ENSG00000174151:ENSG00000160712:ENSG00000146477:ENSG00000026652:ENSG00000175600:ENSG00000122641:ENSG00000099810:ENSG00000176986:ENSG00000172586:ENSG00000214655:ENSG00000166507:ENSG00000148660:ENSG00000122861:ENSG00000185009:ENSG00000156110:ENSG00000173145:ENSG00000108239:ENSG00000137656:ENSG00000109917:ENSG00000160584:ENSG00000134917:ENSG00000103995:ENSG00000138593:ENSG00000166949:ENSG00000103591:ENSG00000137764:ENSG00000136381:ENSG00000041357:ENSG00000172775:ENSG00000159579:ENSG00000130164:ENSG00000132801:ENSG00000100982:ENSG00000198026:ENSG00000100985
