ensg	symbol	Adipose_Tissue	Adrenal_Gland	Bladder	Blood	Blood_Vessel	Brain	Breast	Cervix_Uteri	Colon	Esophagus	Fallopian_Tube	Heart	Kidney	Liver	Lung	Muscle	Nerve	Ovary	Pancreas	Pituitary	Prostate	Salivary_Gland	Skin	Small_Intestine	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina
ENSG00000031698	SARS	5.66882129021723	5.60431766017448	5.6724253419715	5.10313284672833	5.67195108718431	5.34428710080052	5.67229510675513	5.6724253419715	5.66467330929662	5.65177353927863	5.6724253419715	5.10605327115756	5.13368786907933	5.06591261838994	5.6724253419715	5.420284687241	5.6724253419715	5.6724253419715	5.52244567470641	5.67078664224591	5.66123713873683	5.6548012630432	5.6724253419715	5.65526718781897	5.66378511591646	5.65432294010704	5.66721685162684	5.6724253419715	5.6724253419715	5.67210431236094
ENSG00000143126	CELSR2	1.58747961044064	1.70999241389929	2.52123943272826	0.397962827828784	1.85233684237561	4.52875070170833	2.73362460804984	3.35163684781478	2.58763220226602	3.76078160752751	3.42678737035282	2.06107356688652	2.93910531430673	1.01176979164539	1.91442952822755	2.52038975910785	4.02404082992906	1.63003340777555	1.6885831738443	3.38740593007091	3.29182815892329	3.2141063097538	3.96387503051575	1.81759904246685	0.920994790521154	2.2922418505397	4.76465774506776	4.88902866727135	2.59139880508009	4.347815745656
ENSG00000134222	PSRC1	1.97651888219076	1.69810905924793	2.66915868761729	2.386327122616	2.60135250078111	4.6619956709313	2.15154233957268	3.35866187067429	2.47949919405333	3.76666364336867	2.98625788679925	1.35757523921784	1.81569081205191	1.63995760359995	3.37769847378241	0.664389309793641	4.79350079558518	2.8170878124764	0.919720856480787	3.1464039647877	3.36342123076978	2.05050445027065	3.06362528229688	2.58784497320482	2.81403779605029	2.17097030242834	4.86048527522015	2.5004792089108	2.98330220319118	3.50552696193669
ENSG00000134243	SORT1	5.27415107016537	3.68926709663216	4.88143075071033	3.71457363771944	5.66151321700646	5.14066026215118	5.09356825520652	4.62761082866372	5.01927459218458	5.35662605658219	4.89463867109588	4.57963034134518	4.39556152093249	1.76869336131584	5.57873878286633	5.35018393809982	5.61669374689765	2.96467924853934	3.19153843309714	4.36671288480474	4.5913261030084	5.09910346763284	4.69713949378954	4.82231893053552	3.98241371755428	4.41726997167444	5.65630103464313	5.50061184798201	5.06922697060162	4.91660675648552
ENSG00000143028	SYPL2	2.42246006932304	4.0967827037216	2.84491544878818	0.177920885869428	3.19007971522228	0.859455536019175	1.82264293771592	3.06037702249032	2.80547640108884	2.52432065630048	2.08827706335026	3.11407984218805	3.16217324367852	2.78973514570321	1.86578480125797	5.64332817800057	2.83745068621096	2.60585516918965	2.11482854084764	1.51469460717477	2.6272151469518	1.77350905638401	1.04977945076164	1.62249995102013	1.53810881700785	2.30313697889638	4.41529661974161	4.25125415307342	3.73853121901213	2.27657898237462
ENSG00000162650	ATXN7L2	2.67237094547858	3.65466271087862	2.85443863755978	1.97944531442275	2.58519077367428	3.12600100975406	2.68304582727773	3.87434527367578	2.60785091255854	2.64172419957035	3.2349856542712	1.76273029770055	3.13566737694604	2.26003976127434	2.79113603486287	4.045020334056	3.62343036146766	3.89586117059766	1.77268356695118	4.2408069558463	3.23359763285072	2.21775129671291	2.7979317859645	2.83654243344307	3.69034567414624	2.29643138664611	5.02935237920765	4.40114207529279	3.87783504662172	3.26449454808085
ENSG00000174151	CYB561D1	2.51030990170792	3.33132176751812	3.1473473216975	2.84769059909269	3.10829369736341	2.84124751907232	2.46453573687189	2.91833165521825	3.16519832089769	3.12782264977639	3.20584601281141	1.6961574466931	2.64503954240084	1.47633788984758	3.00285790199624	2.2055947285828	3.14063188994122	3.18904665489262	2.95756004971727	3.88918110724838	3.16548105160585	2.82182348504428	3.80783171377829	3.76906591215306	3.90495087292648	3.21331512676553	2.80079039352389	3.69592768064063	3.33756335667092	2.79075101681863
ENSG00000160712	IL6R	4.05649214363492	3.10241762914139	3.78562425597295	4.63376764052686	3.71085697739887	1.99303051596069	3.62076389137024	4.12862766811962	4.55157164508123	4.10463842872017	4.78686516308051	2.49463937018577	3.27700992490868	5.12988056545977	4.91321642758391	5.07631471187752	4.29322415257726	4.04351365302507	2.21780103514503	3.95992834557533	3.6727227486515	2.63092594440668	3.24182109808029	4.51027393170485	4.61173651554013	3.6281852196881	2.87896104904774	2.8208722221486	4.57615859086874	3.56568138524593
ENSG00000145242	EPHA5	0.148233207901426	0.0659223544760104	0.365031918385755	0.00363121133295331	0.233109308073523	1.25612812146508	0.11796186868795	1.23167997393843	0.235785300177494	0.135069955351297	0.0869371643069167	0.169114963603072	0.0418656221679122	0.00514514183113866	0.0854307395766372	0.0125481489958074	1.49848042944477	0.84110526567781	0.0111522174923875	1.01196721525023	0.793696469011081	0.463952909336731	0.121653844045165	0.120370320117758	0.137124017132702	0.406143889609618	0.820621933716124	1.00552060022497	0.35402305902453	0.870467170403717
ENSG00000170006	TMEM154	0.911422667850202	0.152043389263791	2.11469283912646	3.9780539049356	0.484199767063724	0.224464395594882	1.10048755004098	1.13389618176431	0.620807555599088	2.30530580250327	1.03172250474206	0.446189874203319	0.389797345623192	0.654731833574293	1.87954407723215	0.155327182888283	0.793835384998889	0.300854755677877	0.152474468246401	1.12967249398433	1.08334665270131	2.03513087380726	4.10016987985473	1.86643911920131	3.04919428672432	0.603088076539072	0.138325336927598	0.620219926597531	0.654931078848028	2.89655093522673
