ensg	symbol	Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland	Artery_Aorta	Artery_Coronary	Artery_Tibial	Bladder	Brain_Amygdala	Brain_Anterior_cingulate_cortex_BA24	Brain_Caudate_basal_ganglia	Brain_Cerebellar_Hemisphere	Brain_Cerebellum	Brain_Cortex	Brain_Frontal_Cortex_BA9	Brain_Hippocampus	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Putamen_basal_ganglia	Brain_Spinal_cord_cervical_c-1	Brain_Substantia_nigra	Breast_Mammary_Tissue	Cells_Cultured_fibroblasts	Cells_EBV-transformed_lymphocytes	Cervix_Ectocervix	Cervix_Endocervix	Colon_Sigmoid	Colon_Transverse	Esophagus_Gastroesophageal_Junction	Esophagus_Mucosa	Esophagus_Muscularis	Fallopian_Tube	Heart_Atrial_Appendage	Heart_Left_Ventricle	Kidney_Cortex	Kidney_Medulla	Liver	Lung	Minor_Salivary_Gland	Muscle_Skeletal	Nerve_Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Small_Intestine_Terminal_Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole_Blood
ENSG00000031698	SARS	5.6724253419715	5.66440449481413	5.60431766017448	5.6724253419715	5.66978729971777	5.6724253419715	5.6724253419715	5.06162284810326	5.34823865522001	5.15819834943999	5.6051047134393	5.63965030115669	5.5745403514129	5.55326888201813	5.1228753347011	5.38360503970365	5.21488419379212	5.00220139537341	5.42527919173566	5.22310777003888	5.67229510675513	5.6724253419715	5.6724253419715	5.6724253419715	5.6724253419715	5.6663852037501	5.6631005589736	5.65394318081905	5.64165754869041	5.66109540180057	5.6724253419715	5.45976181317164	4.75480103846302	5.11044481646871	5.627602737055	5.06591261838994	5.6724253419715	5.6548012630432	5.420284687241	5.6724253419715	5.6724253419715	5.52244567470641	5.67078664224591	5.66123713873683	5.6724253419715	5.6724253419715	5.65526718781897	5.66378511591646	5.65432294010704	5.66721685162684	5.6724253419715	5.6724253419715	5.67210431236094	4.97193166239414
ENSG00000143126	CELSR2	1.70324295710589	1.44561066619098	1.70999241389929	1.90966003839201	1.90050965371906	1.79754785986956	2.52123943272826	4.0938412022705	4.50929453585313	4.29309171914913	4.56908015438169	4.94581600041814	5.1994305622858	5.03774783469419	4.6902098380623	4.01520057192549	4.21008650465423	4.0773739230113	4.93036345447117	3.95257937100906	2.73362460804984	0.344150311928284	0.523379605443356	3.39794029704507	3.30996374350752	3.05637322750429	2.15699081701017	2.90795528887882	4.98306695902822	3.06455150929521	3.42678737035282	2.85553857723521	1.27212567466525	2.89881041529317	3.79537191834477	1.01176979164539	1.91442952822755	3.2141063097538	2.52038975910785	4.02404082992906	1.63003340777555	1.6885831738443	3.38740593007091	3.29182815892329	5.41153739357092	5.31901510310172	1.81759904246685	0.920994790521154	2.2922418505397	4.76465774506776	4.88902866727135	2.59139880508009	4.347815745656	0.369058828749399
ENSG00000134222	PSRC1	2.09224819635412	1.83469164505527	1.69810905924793	2.87886182686924	2.84999242188742	2.33052654311055	2.66915868761729	4.72460184477063	4.84252886213337	4.56861469990654	3.52916049449561	3.92768637335913	5.32078612836975	5.16551228086146	5.28697757489781	4.56268219596236	3.97078340626081	4.53729593706943	5.54632889529325	5.24412423972776	2.15154233957268	4.3791875228643	3.52331878976916	3.41847713424205	3.3048281334633	2.39590147395383	2.55630202557331	4.10441754986416	3.35816914892872	3.96094855497714	2.98625788679925	1.7944637449768	0.923720681415537	1.80641127344376	2.01288100747523	1.63995760359995	3.37769847378241	2.05050445027065	0.664389309793641	4.79350079558518	2.8170878124764	0.919720856480787	3.1464039647877	3.36342123076978	2.37171375092266	2.71394082538396	2.58784497320482	2.81403779605029	2.17097030242834	4.86048527522015	2.5004792089108	2.98330220319118	3.50552696193669	2.12429195694097
ENSG00000134243	SORT1	5.50344111703299	4.9931542105106	3.68926709663216	5.67193305985263	5.61459002188959	5.67170958913089	4.88143075071033	5.07164050800709	5.21896042667159	5.30758488116098	4.14710195364432	4.40474144922189	5.51779222588238	5.54212505498722	5.51280250478829	5.06542034917653	4.98634374056827	5.25533626490551	5.64901679191734	5.4432101277767	5.09356825520652	4.49538711077775	1.75038189550405	4.74161383668685	4.5250081214429	5.08408060625229	4.95973606201892	5.36485839142023	5.26511429739959	5.44925110664447	4.89463867109588	4.93718087947011	4.22456279306833	4.38874627567164	4.54038548272548	1.76869336131584	5.57873878286633	5.09910346763284	5.35018393809982	5.61669374689765	2.96467924853934	3.19153843309714	4.36671288480474	4.5913261030084	4.57389313103844	4.94838628999441	4.82231893053552	3.98241371755428	4.41726997167444	5.65630103464313	5.50061184798201	5.06922697060162	4.91660675648552	4.16724829089226
ENSG00000143028	SYPL2	2.39321797402827	2.45829650034047	4.0967827037216	3.39179608771472	3.11584777749976	3.08551590245707	2.84491544878818	0.841755034912511	1.01102323111429	1.01491538602537	0.780628567324655	1.12497414424196	1.11017177666409	0.99198826065895	0.684320717816703	0.58630169770407	0.854231187455216	0.899434770117757	0.39850714019438	0.536837894448088	1.82264293771592	1.3169615252375	0.363131913692	3.12250893740234	3.00445829906949	3.49827507729709	2.168988947331	3.48521894742981	0.963084339709588	3.50713482432853	2.08827706335026	2.74379396756565	3.48179428712558	3.13901239536418	3.65434127035834	2.78973514570321	1.86578480125797	1.77350905638401	5.64332817800057	2.83745068621096	2.60585516918965	2.11482854084764	1.51469460717477	2.6272151469518	0.897756582669573	0.988669674430353	1.62249995102013	1.53810881700785	2.30313697889638	4.41529661974161	4.25125415307342	3.73853121901213	2.27657898237462	0.135236490053365
ENSG00000162650	ATXN7L2	2.63881817502173	2.71349014476304	3.65466271087862	2.75883883853328	2.74353493784423	2.41472536881775	2.85443863755978	2.30162441889892	2.7496178881502	2.81409112987543	4.74612566160949	5.07448809143796	3.52189485949914	3.13175862856203	2.79950528871977	2.57051673405998	3.00677338550178	2.46172726738402	2.23297074988259	1.91906176959038	2.68304582727773	2.93398971884122	2.98946669491114	3.81838884176671	3.92470606239393	2.82898360316733	2.40469206133421	2.79198936928899	2.49743003893285	2.68780928793796	3.2349856542712	1.83651964192058	1.68945337948205	3.11874601922918	3.49524622842943	2.26003976127434	2.79113603486287	2.21775129671291	4.045020334056	3.62343036146766	3.89586117059766	1.77268356695118	4.2408069558463	3.23359763285072	2.83296044348324	2.66992820920104	2.83654243344307	3.69034567414624	2.29643138664611	5.02935237920765	4.40114207529279	3.87783504662172	3.26449454808085	1.7466721750784
ENSG00000174151	CYB561D1	2.47328214090733	2.55568773056336	3.33132176751812	3.35945511671831	3.28553227783861	2.88048224566602	3.1473473216975	2.17761205307132	2.53410678995725	2.44193627165724	4.48265203153359	4.60432569118184	3.10905392249447	2.99049309508993	2.3861681690972	2.20725751455791	2.45642343073958	2.24335753589589	2.37577929869069	2.01271075850628	2.46453573687189	3.61732060117505	3.43373542535388	2.65927981515128	3.15147831127853	3.14484945211286	3.18389321758917	3.13912204709699	3.06025638013329	3.19240906852726	3.20584601281141	1.73471053668689	1.65787208649094	2.61621465128419	3.25756847862954	1.47633788984758	3.00285790199624	2.82182348504428	2.2055947285828	3.14063188994122	3.18904665489262	2.95756004971727	3.88918110724838	3.16548105160585	3.84904925364154	3.90928992586764	3.76906591215306	3.90495087292648	3.21331512676553	2.80079039352389	3.69592768064063	3.33756335667092	2.79075101681863	2.71262861264309
ENSG00000160712	IL6R	4.07184026935301	4.03768288790276	3.10241762914139	2.87277311197356	3.87683459340937	4.19685637712921	3.78562425597295	1.98942686697911	1.93927874983166	2.12913363570149	1.23469042611389	1.48386610009935	2.16735096584763	2.05453780587317	2.02132936808715	2.12461291064153	1.97334255411937	1.91787091091382	2.78152594936839	2.4800619504625	3.62076389137024	2.52083285587528	2.87467617978676	3.92800040213031	4.30919220750999	4.72609056581264	4.39123775977873	4.64346895801675	3.10292467117112	4.79180286940658	4.78686516308051	2.80140487006554	2.19000418627738	3.30136528342829	2.75945855636689	5.12988056545977	4.91321642758391	2.63092594440668	5.07631471187752	4.29322415257726	4.04351365302507	2.21780103514503	3.95992834557533	3.6727227486515	3.4105113938605	3.61484411579794	4.51027393170485	4.61173651554013	3.6281852196881	2.87896104904774	2.8208722221486	4.57615859086874	3.56568138524593	5.03917414935968
ENSG00000145242	EPHA5	0.138907539841248	0.159661891679426	0.0659223544760104	0.18651120432616	0.307855246887242	0.236414519994441	0.365031918385755	1.60226314414988	1.8650009338046	0.743165609608308	0.734887911739752	0.946123006487867	1.73309062577358	2.41097013318703	1.97560864725541	1.66214481798649	0.563748419329542	0.4843373874432	0.728305394716554	1.10446181012445	0.11796186868795	0.0852642885246345	0.0054797276065134	1.47550207849808	1.01224007983474	0.307975464114853	0.169462809663616	0.2330096699896	0.0373023455219162	0.169115839751186	0.0869371643069167	0.29715473278194	0.0419643594879466	0.0419474777457822	0.0401261911381736	0.00514514183113866	0.0854307395766372	0.463952909336731	0.0125481489958074	1.49848042944477	0.84110526567781	0.0111522174923875	1.01196721525023	0.793696469011081	0.128658637932708	0.141781433880073	0.120370320117758	0.137124017132702	0.406143889609618	0.820621933716124	1.00552060022497	0.35402305902453	0.870467170403717	0.00320519566196066
ENSG00000170006	TMEM154	0.70785972431005	1.16089074838092	0.152043389263791	0.53161254295114	0.729999833655892	0.364328974958921	2.11469283912646	0.197180691169855	0.179336478689016	0.223170142116092	0.125368599364094	0.136999542648021	0.185647342517095	0.199636270879779	0.209592665780168	0.310685147848803	0.206047933075564	0.197009822962061	0.518808582464854	0.359364578539381	1.10048755004098	2.23947003458378	3.19465897343891	1.53980121698072	0.768581650069534	0.499165794789782	0.732562178214535	0.695966538458614	4.89367116736762	0.687751329720807	1.03172250474206	0.469710587772467	0.422832498922845	0.391155132751457	0.360944369147567	0.654731833574293	1.87954407723215	2.03513087380726	0.155327182888283	0.793835384998889	0.300854755677877	0.152474468246401	1.12967249398433	1.08334665270131	4.9095635455388	4.74056780844727	1.86643911920131	3.04919428672432	0.603088076539072	0.138325336927598	0.620219926597531	0.654931078848028	2.89655093522673	4.15859790239312
